address,city,date_of_sale,sold_price,type,bedrooms,bathrooms,sq_ft,lot_sqft,build_age,stories,garage,hoa_fee,school_score,median_income,dist_bart_miles,unemployment,interest_rate
1759 Elm Rd,Concord,7/17/26,840000,Single-family,3,2.0,1504,12197.0,51,1.0,2,0.0,9,89796.0,0.7955943040456616,,6.78
1850 Gilardy Dr,Concord,7/17/26,944888,Single-family,4,2.0,1600,7600.0,75,1.0,2,0.0,9,73873.0,1.70086555217073,,6.78
810 Oak Grove Rd Apt 104,Concord,7/16/26,289000,Condo,1,1.0,805,0.0,55,1.0,1,595.0,9,104194.0,1.8779077310470795,,6.78
5515 Pennsylvania Blvd,Concord,7/16/26,770000,Single-family,4,2.0,1321,7500.0,67,1.0,2,0.0,9,100417.0,3.4708539709069752,,6.78
1170 Mardon Ct,Concord,7/16/26,1173000,Single-family,4,2.0,2249,11700.0,47,1.0,3,0.0,9,190882.0,3.9058330211037,,6.78
2313 Panoramic Dr,Concord,7/16/26,757000,Single-family,4,2.0,1396,6370.0,63,1.0,2,0.0,9,104844.0,0.8730746150116256,,6.78
1878 Queens Rd,Concord,7/15/26,743000,Single-family,3,2.0,1150,7080.0,66,1.0,2,0.0,9,137432.0,1.1433766871810225,,6.78
5442 Roundtree Ct Apt A,Concord,7/15/26,365000,Townhome,2,1.0,914,0.0,56,1.0,1,530.0,9,100417.0,3.519590016843848,,6.78
136 Norman Ave,Concord,7/15/26,535000,Single-family,2,1.0,883,5370.0,108,1.0,1,0.0,9,138875.0,2.099425270445896,,6.78
4549 Coolidge St,Concord,7/15/26,995000,Single-family,4,2.0,2200,8000.0,63,1.0,2,0.0,9,123964.0,2.2388405169765293,,6.78
825 Oak Grove Rd Apt 16,Concord,7/15/26,510000,Condo,3,2.0,1183,0.0,56,1.0,0,679.0,9,,1.8221086975222849,,6.78
1446 Sunshine Dr,Concord,7/15/26,628000,Single-family,3,2.0,1001,5500.0,70,1.0,2,0.0,9,90375.0,1.583276244519611,,6.78
1675 Garnet Ln,Concord,7/14/26,1210000,Single-family,3,2.0,2291,17500.0,79,2.0,2,0.0,9,89796.0,1.0105144190812605,,6.78
4466 Pinon Dr,Concord,7/14/26,1220000,Single-family,4,2.0,2887,8800.0,49,2.0,3,154.0,9,167167.0,2.6149310968395447,,6.78
1195 Kenwal Rd Apt B,Concord,7/14/26,385000,Townhome,2,2.0,1016,0.0,55,2.0,0,713.0,9,119539.0,3.4576654803196334,,6.78
1899 Queens Rd,Concord,7/14/26,775000,Single-family,4,2.0,1512,7316.0,66,1.0,2,0.0,9,137432.0,1.0291035777699378,,6.78
1403 Saint James Pkwy,Concord,7/13/26,515000,Townhome,3,2.0,1576,0.0,54,2.0,1,150.0,9,119539.0,3.2425357134231163,,6.78
1924 Woodmoor Ct,Concord,7/13/26,960000,Single-family,3,2.0,1387,9450.0,54,1.0,2,0.0,9,185556.0,1.698574492661816,,6.78
2037 Highland Dr,Concord,7/13/26,710000,Single-family,4,2.0,1754,5500.0,22,1.0,0,0.0,9,98151.0,1.1149350448862636,,6.78
3691 Liscome Way,Concord,7/13/26,1215000,Single-family,4,2.0,1889,11000.0,67,1.0,2,0.0,9,144674.0,1.1745423696117048,,6.78
1174 Victory Ln,Concord,7/10/26,675000,Single-family,2,1.0,930,7754.0,106,1.0,0,0.0,9,82955.0,1.7577267625157564,,6.78
1193 Morrell Ct,Concord,7/10/26,975000,Single-family,4,3.0,2163,13155.0,55,2.0,2,0.0,9,190882.0,4.028256443798187,,6.78
2829 Hilltop Rd,Concord,7/10/26,658000,Single-family,4,2.0,1298,8905.0,74,1.0,0,0.0,9,98151.0,1.417886300720922,,6.78
5451 Roundtree Pl Apt F,Concord,7/10/26,379000,Townhome,2,1.0,914,0.0,56,1.0,0,0.0,9,100417.0,3.4500351990512192,,6.78
4092 Nulty Dr,Concord,7/10/26,775000,Single-family,4,2.0,1640,12600.0,74,1.0,0,0.0,9,123964.0,1.810366626658692,,6.78
1543 American Beauty Dr,Concord,7/10/26,895000,Single-family,3,2.0,1668,8000.0,64,1.0,2,0.0,9,122982.0,2.9592226728070474,,6.78
4606 Candlewood Ct,Concord,7/10/26,799000,Single-family,3,2.0,1560,8800.0,62,1.0,0,0.0,9,123964.0,2.7017605025689506,,6.78
1750 Woodcrest Dr,Concord,7/9/26,815000,Single-family,3,2.0,1573,8000.0,63,1.0,2,0.0,9,123964.0,2.4013426179938024,,6.78
1740 Clayton Way,Concord,7/9/26,875000,Single-family,4,2.0,2191,9360.0,57,1.0,2,0.0,9,137432.0,1.6286668656149628,,6.78
1119 Eureka Ln,Concord,7/8/26,599000,Single-family,2,1.0,1076,11326.0,79,1.0,1,0.0,9,82955.0,1.7219361429097102,,6.78
1017 Bermuda Dr,Concord,7/8/26,1050000,Single-family,4,2.0,2091,10000.0,62,2.0,2,0.0,9,185556.0,1.0660344723179294,,6.78
1423 Saint James Pkwy,Concord,7/8/26,525000,Townhome,3,2.0,1576,0.0,54,2.0,1,150.0,9,119539.0,3.242894506866929,,6.78
2952 Euclid Ave,Concord,7/7/26,720000,Single-family,3,2.0,1859,10000.0,79,1.0,0,0.0,9,89796.0,0.5044178356540583,,6.78
3335 Northwood Dr Unit C,Concord,7/7/26,410000,Townhome,2,1.0,1090,0.0,55,2.0,0,405.0,9,98151.0,0.8719240450861448,,6.78
2161 Northwood Cir Unit D,Concord,7/7/26,360000,Condo,2,1.0,1000,0.0,47,2.0,0,508.0,9,98151.0,0.9306796579541088,,6.78
2730 Crawford St,Concord,7/7/26,495000,Single-family,3,1.0,1070,6000.0,79,1.0,0,0.0,9,175208.0,0.2548123384867967,,6.78
4459 Windflower Ct,Concord,7/6/26,1200000,Single-family,4,3.0,2479,10800.0,45,2.0,2,71.0,9,146784.0,2.503115458364361,,6.78
825 Oak Grove Rd Apt 40,Concord,7/6/26,410000,Condo,2,2.0,1096,0.0,56,1.0,0,638.0,9,,1.8311097125229996,,6.78
1340 Janet Ln,Concord,7/6/26,440000,Single-family,3,1.0,1215,13634.0,116,1.0,0,0.0,9,120208.0,1.6409433056554923,,6.78
1342 Maryland Dr,Concord,7/3/26,840000,Single-family,4,2.0,1360,7000.0,65,1.0,2,0.0,9,100417.0,3.745035315281719,,6.78
1060 Mohr Ln Apt A,Concord,7/2/26,275000,Condo,2,1.0,861,0.0,57,1.0,0,518.0,9,185556.0,1.3422237828654284,,6.78
723 Navaronne Way,Concord,7/2/26,1200000,Single-family,4,2.0,1852,12025.0,52,1.0,2,0.0,9,146784.0,2.3762917065957003,,6.78
1831 Venice Dr,Concord,7/2/26,540000,Single-family,2,1.0,901,7548.0,76,1.0,1,0.0,9,137432.0,1.3862423275728506,,6.78
1271 Kentucky Dr,Concord,7/2/26,800000,Single-family,5,2.0,1437,7700.0,62,1.0,2,0.0,9,100417.0,3.739543188503227,,6.78
2890 Treat Blvd Unit 5,Concord,7/1/26,330000,Condo,2,1.0,917,0.0,52,1.0,0,653.0,9,213929.0,1.6451380408996277,,6.78
3225 Sheffield Pl,Concord,7/1/26,840000,Single-family,3,2.0,1681,7840.0,74,1.0,2,0.0,9,175208.0,0.653183234984779,,6.78
4006 Salem St,Concord,7/1/26,900000,Single-family,4,2.0,1598,7665.0,61,1.0,1,0.0,9,123964.0,1.6851409888173523,,6.78
752 Citrus Ave,Concord,7/1/26,1050000,Single-family,4,2.0,1772,8320.0,61,1.0,2,0.0,9,146784.0,2.3284460447109736,,6.81
962 Oasis Dr,Concord,7/1/26,900000,Single-family,3,2.0,1422,7140.0,66,1.0,2,0.0,9,185556.0,1.399188504327775,,6.81
1067 Ridge Park Dr,Concord,6/30/26,1090000,Single-family,4,3.0,2359,27007.0,71,2.0,2,0.0,9,144674.0,0.9820111363219745,,6.81
1505 Kirker Pass Rd Apt 119,Concord,6/30/26,370000,Condo,2,1.0,744,0.0,41,1.0,0,446.0,9,122982.0,3.003497054504812,,6.81
4081 Clayton Rd Apt 221,Concord,6/30/26,260000,Condo,1,1.0,646,0.0,54,1.0,0,653.0,9,123964.0,1.722156577362879,,6.81
2678 Mayfair Ave,Concord,6/30/26,625000,Single-family,3,1.0,1192,8000.0,74,1.0,1,0.0,9,102675.0,1.066265208414464,,6.81
2966 Minert Rd,Concord,6/30/26,603500,Single-family,4,2.0,1827,12000.0,37,1.0,2,0.0,9,104194.0,1.6486539894437358,,6.81
1566 Dianda Dr,Concord,6/29/26,1025000,Single-family,4,2.0,1892,7200.0,62,1.0,2,0.0,9,123964.0,2.41861258085106,,6.81
5517 Guadalupe Ct,Concord,6/29/26,1198000,Single-family,4,2.0,2041,7475.0,51,2.0,2,0.0,9,129617.0,2.983008788172095,,6.81
1231 Coventry Rd,Concord,6/29/26,750000,Single-family,3,1.0,1072,6840.0,72,1.0,2,0.0,9,175208.0,0.5493018416521795,,6.81
1154 Tilson Dr,Concord,6/26/26,670000,Single-family,3,1.0,1064,7350.0,69,1.0,2,0.0,9,82955.0,1.539012733591843,,6.81
847 Ryan Ct,Concord,6/26/26,850000,Single-family,3,2.0,1266,7000.0,65,1.0,2,0.0,9,104194.0,2.071521638917824,,6.81
1651 Glazier Dr,Concord,6/26/26,560000,Single-family,4,2.0,1136,7300.0,65,1.0,2,0.0,9,123964.0,2.3057736533864235,,6.81
847 Tully Way,Concord,6/26/26,920000,Single-family,3,2.0,1329,8000.0,65,1.0,2,0.0,9,104194.0,1.9749275636067705,,6.81
5506 Kirkwood Dr,Concord,6/26/26,900000,Single-family,4,2.0,1926,7000.0,50,1.0,2,0.0,9,129617.0,2.7120509042067384,,6.81
1645 Beckner Ct,Concord,6/26/26,875000,Single-family,4,2.0,2000,12780.0,60,1.0,2,0.0,9,137432.0,2.088111815746059,,6.81
1035 Oak Grove Rd,Concord,6/26/26,750000,Single-family,3,1.0,1470,23958.0,73,1.0,0,0.0,9,73873.0,1.5909173485551025,,6.81
1679 Westwood Dr,Concord,6/26/26,870000,Single-family,3,2.0,1694,8000.0,64,1.0,2,0.0,9,123964.0,2.3625882495149195,,6.81
941 Tyler Ct,Concord,6/25/26,1250000,Single-family,4,2.0,1890,35470.0,40,1.0,2,0.0,9,144674.0,1.5442480193865786,,6.81
246 Wellington Ave,Concord,6/25/26,705000,Single-family,3,2.0,1376,7410.0,79,2.0,1,0.0,9,138875.0,2.324230243476204,,6.81
1544 Bailey Rd Apt 30,Concord,6/25/26,303000,Condo,2,2.0,915,0.0,44,1.0,0,656.0,9,124713.0,2.756988197278333,,6.81
3793 Bayview Cir,Concord,6/25/26,699000,Single-family,3,2.0,1355,6500.0,64,1.0,0,0.0,9,104844.0,0.9479884616957048,,6.81
1525 American Beauty Dr,Concord,6/25/26,885000,Single-family,3,2.0,1624,8000.0,65,1.0,2,0.0,9,122982.0,3.005464686836856,,6.81
4044 Cowell Rd,Concord,6/25/26,950000,Single-family,5,3.0,2476,12075.0,49,2.0,2,0.0,9,144674.0,1.654226355527897,,6.81
1133 Meadow Ln Apt 53,Concord,6/24/26,200000,Condo,1,1.0,722,0.0,54,2.0,0,385.0,9,82955.0,1.333594213341586,,6.81
3331 Alfonso Dr,Concord,6/24/26,977000,Single-family,4,2.0,1611,6400.0,51,1.0,2,0.0,9,104194.0,2.071758039451566,,6.81
1577 Waltham Rd,Concord,6/24/26,715000,Single-family,3,1.0,950,12500.0,78,1.0,1,0.0,9,90375.0,1.1001387932452356,,6.81
1299 Almar St,Concord,6/24/26,485000,Single-family,3,1.0,960,6000.0,79,1.0,0,0.0,9,175208.0,0.2598979231936475,,6.81
2190 Charlotte Ave,Concord,6/24/26,700000,Single-family,3,2.0,1247,6000.0,68,1.0,2,0.0,9,61658.0,1.966773626690684,,6.81
2766 Mayfair Ave,Concord,6/24/26,785000,Single-family,3,2.0,1454,7000.0,73,1.0,2,0.0,9,102675.0,1.051401391574401,,6.81
3218 Reva Dr,Concord,6/23/26,765000,Single-family,3,2.0,1271,6210.0,73,1.0,2,35.0,9,118906.0,0.3214042461582023,,6.81
825 Oak Grove Rd Apt 30,Concord,6/23/26,359000,Condo,2,1.0,922,0.0,56,1.0,1,599.0,9,,1.8107205457337263,,6.81
1808 Las Ramblas Dr,Concord,6/23/26,750000,Single-family,3,2.0,1420,6300.0,53,1.0,2,0.0,9,129617.0,2.8864280597317227,,6.81
954 Alla Ave,Concord,6/23/26,1100000,Single-family,4,2.0,1856,6014.0,68,1.0,2,0.0,9,61658.0,1.781841233075807,,6.81
3641 Clayton Rd Apt 37,Concord,6/23/26,360000,Condo,2,2.0,800,0.0,44,1.0,0,450.0,9,89796.0,1.213606400057838,,6.81
2852 Systron Dr,Concord,6/23/26,808000,Single-family,4,2.0,1885,2818.0,19,1.0,2,227.0,9,144674.0,0.6003728511982844,,6.81
1035 Heckmann Ln,Concord,6/22/26,1248000,Single-family,4,3.0,2248,4908.0,2,2.0,2,202.0,9,,1.6975571148590718,,6.81
1091 Mohr Ln Apt C,Concord,6/22/26,370000,Condo,3,2.0,1039,0.0,48,1.0,0,450.0,9,73873.0,1.2973847568449834,,6.81
5035 Valley Crest Dr Apt 177,Concord,6/22/26,475000,Condo,3,2.0,1247,0.0,42,2.0,0,526.0,9,119539.0,3.1114243065514846,,6.81
2442 Cardinal Ct,Concord,6/22/26,740000,Single-family,3,2.0,1134,7200.0,64,1.0,2,0.0,9,104844.0,0.4969221910919682,,6.81
1849 Silverwood Dr,Concord,6/22/26,682000,Single-family,3,1.0,1176,5850.0,73,1.0,2,0.0,9,137432.0,1.3688900161276925,,6.81
4605 Wilson Ln,Concord,6/22/26,860000,Single-family,4,2.0,1745,7971.0,61,1.0,2,0.0,9,123964.0,2.621700445408929,,6.81
2895 Springvale Ct,Concord,6/22/26,950000,Single-family,3,2.0,1438,7650.0,57,1.0,2,0.0,9,104194.0,1.858940192928324,,6.81
871 Litwin Dr,Concord,6/18/26,935000,Single-family,3,2.0,1601,8000.0,59,1.0,2,0.0,9,213929.0,1.7318694588536117,,6.81
4311 Cowell Rd,Concord,6/18/26,700000,Single-family,3,2.0,1135,8092.0,70,1.0,2,0.0,9,167167.0,2.1283230441993344,,6.81
3706 Edmonton Way,Concord,6/17/26,725000,Single-family,3,2.0,1358,6000.0,66,1.0,2,0.0,9,104844.0,0.8514912595896155,,6.81
5018 Olive Dr,Concord,6/17/26,600000,Single-family,3,1.0,1059,8466.0,71,1.0,0,0.0,9,124713.0,2.690959538505758,,6.81
5370 Laurel Dr,Concord,6/16/26,895000,Single-family,3,3.0,2560,10000.0,36,1.0,3,0.0,9,122982.0,2.588692061645212,,6.81
2920 Frayne Ln,Concord,6/16/26,807000,Single-family,3,2.0,1497,6000.0,60,1.0,2,38.0,9,104194.0,2.0321843696623656,,6.81
5233 Boulder Ct,Concord,6/16/26,1155000,Single-family,5,3.0,2668,7300.0,32,2.0,3,220.0,9,91600.0,2.2218626251001736,,6.81
3882 Chestnut Ave,Concord,6/15/26,1100000,Single-family,4,2.0,2268,10019.0,31,1.0,3,0.0,9,89796.0,1.4186309514755011,,6.81
950 Maplegate Ct,Concord,6/15/26,1775000,Single-family,5,5.0,4502,11631.0,24,2.0,3,122.0,9,190882.0,4.166202819943633,,6.81
1386 Canterbury Dr,Concord,6/15/26,801500,Single-family,4,2.0,1747,7000.0,72,2.0,2,0.0,9,120208.0,1.981412193972132,,6.81
5455 Kirkwood Dr Apt B6,Concord,6/15/26,279000,Condo,1,1.0,696,0.0,46,1.0,0,475.0,9,129617.0,2.56987064422257,,6.81
2055 Sierra Rd Apt 106,Concord,6/15/26,381000,Condo,2,1.0,1218,0.0,42,2.0,0,543.0,9,61658.0,1.3317157351106563,,6.81
1842 Jefferson St,Concord,6/15/26,1000000,Single-family,4,2.0,2112,8000.0,63,2.0,2,0.0,9,123964.0,2.286671804429067,,6.81
5455 Kirkwood Dr Apt G3,Concord,6/15/26,372500,Condo,2,1.0,891,0.0,46,1.0,0,475.0,9,129617.0,2.592971550177542,,6.81
1219 Saint Elizabeth Ct,Concord,6/15/26,845911,Single-family,4,2.0,1874,9779.0,50,1.0,2,0.0,9,175208.0,1.2219322188334256,,6.81
1831 Gilly Ln,Concord,6/12/26,950000,Single-family,4,3.0,2579,9900.0,64,2.0,2,0.0,9,73873.0,1.7202808071347993,,6.81
4321 Cowell Rd,Concord,6/12/26,850000,Single-family,4,3.0,1966,8296.0,70,1.0,2,0.0,9,167167.0,2.1652724189858525,,6.81
4324 Chelsea Way,Concord,6/12/26,906500,Single-family,4,2.0,1489,9775.0,55,1.0,2,0.0,9,,2.1771433180771216,,6.81
4322 Machado Dr,Concord,6/12/26,550000,Single-family,2,2.0,858,2900.0,44,1.0,2,0.0,9,123964.0,2.3025347264740263,,6.81
1881 Emerald St,Concord,6/12/26,835000,Single-family,4,2.0,1484,7920.0,60,1.0,2,0.0,9,73873.0,1.7168315602497393,,6.81
1162 Ridgewood Dr,Concord,6/12/26,979000,Single-family,4,2.0,2156,12100.0,61,1.0,2,0.0,9,144674.0,1.1040555904079214,,6.81
3739 Northridge Dr,Concord,6/11/26,1258500,Single-family,3,2.0,1739,12000.0,63,1.0,2,0.0,9,144674.0,1.3768983704972897,,6.81
1770 Claycord Ave,Concord,6/11/26,1150000,Single-family,5,2.0,2234,8989.0,55,2.0,2,0.0,9,124713.0,2.485714008515652,,6.81
3772 Gainsborough Dr,Concord,6/11/26,1497500,Single-family,4,2.0,1995,12696.0,62,1.0,2,0.0,9,175208.0,1.3340963436173197,,6.9
3997 Mulberry Dr,Concord,6/10/26,770000,Single-family,3,2.0,1196,6500.0,67,1.0,2,0.0,9,137432.0,2.048655047231088,,6.9
5509 Roundtree Dr Apt E,Concord,6/10/26,390000,Townhome,2,1.0,973,0.0,55,2.0,0,530.0,9,100417.0,3.4084456609136646,,6.9
1391 Monument Blvd Apt 20,Concord,6/10/26,330000,Condo,2,1.0,941,0.0,46,1.0,0,415.0,9,82955.0,1.7219834673704164,,6.9
4362 Lynn Dr,Concord,6/10/26,1250000,Single-family,4,3.0,3085,15072.0,23,2.0,3,0.0,9,146784.0,2.099819756469289,,6.9
835 Royal Ann Ln,Concord,6/9/26,610000,Townhome,3,2.0,1339,0.0,53,1.0,2,600.0,9,213929.0,1.5968685253667665,,6.9
5015 Valley Crest Dr Apt 121,Concord,6/9/26,420000,Condo,2,2.0,1080,0.0,42,1.0,0,526.0,9,119539.0,3.099974624268227,,6.9
726 San Andreas Ct,Concord,6/8/26,1315000,Single-family,4,2.0,1864,16800.0,61,1.0,2,0.0,9,146784.0,2.4657221826078337,,6.9
5795 Lewis Way,Concord,6/8/26,1225000,Single-family,4,2.0,2606,30820.0,45,1.0,3,0.0,9,190882.0,4.268562718522398,,6.9
2827 Monument Blvd Apt 21,Concord,6/8/26,286000,Condo,1,1.0,611,0.0,41,1.0,1,503.0,9,81842.0,0.6174963446861803,,6.9
1200 Stonecrest Ln,Concord,6/8/26,1050000,Single-family,5,3.0,2685,13068.0,11,2.0,2,0.0,9,146784.0,2.104330180837312,,6.9
875 Madigan Ave,Concord,6/8/26,850000,Single-family,4,2.0,2104,6000.0,60,2.0,0,0.0,9,104194.0,1.875469913915217,,6.9
1044 Mohr Ln Apt D,Concord,6/5/26,315000,Condo,2,1.0,854,0.0,57,1.0,1,518.0,9,73873.0,1.373190406079019,,6.9
5515 Langford Ct,Concord,6/5/26,1195000,Single-family,3,2.0,2052,11000.0,50,2.0,2,0.0,9,129617.0,2.7296320311608127,,6.9
2175 Bluerock Cir,Concord,6/5/26,875000,Single-family,3,2.0,1676,7681.0,31,1.0,2,220.0,9,91600.0,2.142020987667268,,6.9
3155 San Ramon Rd,Concord,6/5/26,225000,Single-family,2,1.0,848,5400.0,76,1.0,1,0.0,9,118906.0,0.6102434530549925,,6.9
1948 Risdon Rd,Concord,6/5/26,1050000,Single-family,4,2.0,1849,7500.0,54,1.0,2,0.0,9,185556.0,1.743948423325724,,6.9
2725 Argyll Ave,Concord,6/5/26,645000,Single-family,3,1.0,1089,6300.0,76,1.0,2,0.0,9,102675.0,1.1792753800929563,,6.9
1765 Glazier Dr,Concord,6/4/26,925000,Single-family,4,2.0,1717,8900.0,63,1.0,2,0.0,9,123964.0,2.5789447690160543,,6.9
2609 Wisteria Way,Concord,6/4/26,770000,Single-family,3,3.0,1729,1721.0,19,3.0,2,220.0,9,118906.0,0.3753588460353934,,6.9
4284 Dubhe Ct,Concord,6/4/26,679000,Townhome,3,2.0,1361,0.0,52,2.0,2,245.0,9,123964.0,2.277328148203593,,6.9
1691 Clayton Way,Concord,6/3/26,820000,Single-family,3,2.0,1762,9975.0,63,1.0,2,0.0,9,89796.0,1.695609806714789,,6.9
1297 Kansas Cir,Concord,6/3/26,896000,Single-family,4,2.0,1437,7000.0,61,1.0,2,0.0,9,100417.0,3.708142617986266,,6.9
5454 Anselmo Ct,Concord,6/3/26,825000,Single-family,3,2.0,2041,5525.0,53,2.0,2,0.0,9,129617.0,2.9194132884955515,,6.9
1201 Sheridan Rd,Concord,6/3/26,1080000,Single-family,4,2.0,1927,10202.0,63,1.0,2,0.0,9,175208.0,1.180410774006179,,6.9
1036 Oak Grove Rd Apt 60,Concord,6/3/26,220000,Condo,1,1.0,671,0.0,55,2.0,0,523.0,9,61658.0,1.504699671538349,,6.9
1255 Poppy Seed Ct,Concord,6/3/26,859000,Single-family,4,2.0,2018,2960.0,23,2.0,2,158.0,9,73873.0,1.4691343824412428,,6.9
2069 Olivera Rd Apt E,Concord,6/2/26,320000,Townhome,2,1.0,975,0.0,55,2.0,0,420.0,9,98151.0,1.113711664854513,,6.9
5501 Colorado Dr,Concord,6/2/26,625000,Single-family,3,2.0,1158,8050.0,67,1.0,2,0.0,9,100417.0,3.409921722255131,,6.9
3479 Rose Ct,Concord,6/2/26,950000,Single-family,4,2.0,1800,7300.0,70,1.0,3,0.0,9,89796.0,0.9565599733737444,,6.9
5305 Pine Hollow Rd,Concord,6/2/26,1200000,Single-family,4,2.0,2223,28320.0,47,1.0,2,0.0,9,100417.0,3.81085916231276,,6.9
4419 Sugarland Ct,Concord,6/2/26,1300000,Single-family,5,3.0,2587,5612.0,53,2.0,3,154.0,9,167167.0,3.104481124979755,,6.9
1435 Darlene Dr,Concord,6/2/26,525000,Single-family,2,1.0,729,9375.0,77,1.0,0,0.0,9,90375.0,1.395962135675232,,6.9
1009 Rolling Woods Way,Concord,6/1/26,1215000,Single-family,4,2.0,2475,11300.0,28,1.0,2,125.0,9,190882.0,4.190582729968762,,6.9
1671 Dugan Ct,Concord,6/1/26,845000,Single-family,3,2.0,1828,9000.0,50,1.0,2,0.0,9,122982.0,2.84743328951626,,6.9
978 Via Montanas,Concord,6/1/26,1375000,Single-family,3,2.0,2243,17600.0,41,2.0,2,0.0,9,144674.0,1.3598884230525554,,6.9
5025 Valley Crest Dr Apt 147,Concord,6/1/26,415000,Condo,2,1.0,1200,0.0,42,2.0,0,526.0,9,119539.0,3.0924988904317274,,6.9
1306 Craig Dr,Concord,6/1/26,765000,Single-family,3,2.0,1216,8740.0,75,1.0,2,0.0,9,175208.0,0.7957883266620281,,6.9
5001 Saint Garrett Ct,Concord,6/1/26,878000,Single-family,3,2.0,1697,6300.0,43,1.0,2,0.0,9,119539.0,3.297709023210684,,6.9
2840 Royal Ann Ln,Concord,5/29/26,650000,Townhome,3,2.0,1364,0.0,53,2.0,1,600.0,9,213929.0,1.565663699297314,4.7,6.9
1808 Elkwood Dr,Concord,5/29/26,824000,Single-family,3,2.0,1496,8300.0,54,1.0,2,0.0,9,137432.0,1.617309798942404,4.7,6.9
1745 Eucalyptus Ct,Concord,5/29/26,975000,Single-family,3,2.0,1977,8000.0,69,1.0,2,0.0,9,137432.0,1.9530328501305811,4.7,6.9
839 McElroy Ct,Concord,5/29/26,970000,Single-family,4,2.0,1712,9450.0,60,1.0,2,38.0,9,104194.0,1.9810222968047837,4.7,6.9
867 Litwin Dr,Concord,5/29/26,950000,Single-family,4,2.0,2056,8051.0,59,2.0,2,0.0,9,213929.0,1.733549717717562,4.7,6.9
5505 Florida Dr,Concord,5/29/26,808000,Single-family,4,2.0,1437,6860.0,61,1.0,2,0.0,9,100417.0,3.8506650345111257,4.7,6.9
1819 Hayes Ct,Concord,5/29/26,770000,Single-family,3,2.0,1517,8320.0,62,1.0,0,0.0,9,123964.0,2.335498342074293,4.7,6.9
5244 S Montecito Dr,Concord,5/29/26,1437000,Single-family,5,3.0,2923,12378.0,23,2.0,3,226.0,9,190882.0,3.0146688814689457,4.7,6.9
2849 Saint Joseph Dr,Concord,5/29/26,940000,Single-family,3,2.0,1541,7000.0,48,1.0,2,0.0,9,104194.0,1.6058454773525062,4.7,6.9
1156 Carey Dr,Concord,5/29/26,730000,Single-family,3,2.0,1243,5500.0,70,1.0,2,0.0,9,82955.0,1.6604705845545993,4.7,6.9
3922 Bayview Cir,Concord,5/29/26,631631,Single-family,4,2.0,1379,9200.0,60,1.0,2,0.0,9,104844.0,0.9677426936221863,4.7,6.9
1832 Elkwood Dr,Concord,5/29/26,810000,Single-family,3,2.0,1580,7280.0,50,1.0,2,0.0,9,137432.0,1.5204139330284598,4.7,6.9
1270 Windermere Way,Concord,5/29/26,820000,Single-family,4,3.0,2030,6300.0,71,2.0,2,0.0,9,120208.0,1.9357950456853872,4.7,6.9
108 Kerman Dr,Concord,5/28/26,657000,Single-family,2,2.0,1135,8125.0,75,1.0,2,0.0,9,175208.0,0.795921638495705,4.7,6.9
4151 Storey Ln,Concord,5/28/26,1116000,Single-family,4,2.0,2146,11480.0,46,1.0,2,0.0,9,144674.0,1.8154224956287883,4.7,6.9
5506 Florida Dr,Concord,5/28/26,887000,Single-family,4,2.0,1437,8260.0,61,1.0,2,0.0,9,100417.0,3.879762972208217,4.7,6.9
1878 Polk St,Concord,5/28/26,948000,Single-family,5,3.0,2320,8550.0,63,2.0,3,0.0,9,123964.0,2.207671374528533,4.7,6.9
3114 Santa Paula Dr,Concord,5/28/26,955000,Single-family,3,2.0,1491,9153.0,64,1.0,2,0.0,9,146784.0,2.1482105548895256,4.7,6.9
1267 Quiet Cir,Concord,5/26/26,1372000,Single-family,4,3.0,2802,16117.0,37,2.0,3,125.0,9,190882.0,3.9233244015913296,4.7,6.9
1378 Canterbury Dr,Concord,5/26/26,795000,Single-family,3,2.0,1207,5500.0,72,2.0,1,0.0,9,120208.0,1.9700056626497735,4.7,6.9
3407 Cowell Rd,Concord,5/26/26,667000,Single-family,3,1.0,1242,8848.0,73,1.0,2,0.0,9,175208.0,0.9248741147361048,4.7,6.9
1718 Pepperwood Ct,Concord,5/26/26,815000,Single-family,3,2.0,1742,8300.0,63,1.0,2,0.0,9,137432.0,2.2186464446462586,4.7,6.9
1442 Indian Ln,Concord,5/26/26,515000,Townhome,2,2.0,1075,0.0,53,1.0,0,465.0,9,103401.0,2.9240956096636657,4.7,6.9
1759 Landana Dr,Concord,5/26/26,660000,Single-family,3,1.0,1216,7800.0,71,1.0,1,0.0,9,137432.0,1.862269273878116,4.7,6.9
1941 Springridge Ct,Concord,5/26/26,1635000,Single-family,5,3.0,4096,30000.0,61,2.0,2,0.0,9,122982.0,2.151443071548884,4.7,6.9
5260 Hiddencrest Ct,Concord,5/26/26,1415000,Single-family,5,3.0,3495,14854.0,26,2.0,2,125.0,9,190882.0,3.8549479283370136,4.7,6.96
1591 Ellis St Apt 105,Concord,5/26/26,210000,Condo,1,1.0,646,0.0,57,1.0,0,454.0,9,68182.0,0.5492287750526917,4.7,6.96
1013 Mohr Ln Apt 2,Concord,5/26/26,330000,Condo,2,1.0,877,0.0,55,2.0,1,625.0,9,73873.0,1.2483090161125852,4.7,6.96
5187 Greenmeadow Dr,Concord,5/26/26,975000,Single-family,3,2.0,1468,8250.0,64,1.0,2,0.0,9,119539.0,3.233514569666342,4.7,6.96
